"ES-CO","Call of Duty: Black Ops 6 y Warzone","Juega a Temporada 5 Recargada","Call of Duty: Black Ops 6 y Warzone"
"ES-ES","Call of Duty: Black Ops 6 i Warzone","Juega a Temporada 5 Recargada","Call of Duty: Black Ops 6 i Warzone"
"ES-MX","Call of Duty: Black Ops 6 y Warzone","Juega a Temporada 5 Recargada","Call of Duty: Black Ops 6 y Warzone"
"FI-FI","Call of Duty: Black Ops 6 ja Warzone","Pelaa Kauden 05 Reloaded nyt","Call of Duty: Black Ops 6 ja Warzone"
"FR-BE","Call of Duty: Black Ops 6 et Warzone","Jouez à La Saison 5 Rechargée","Call of Duty: Black Ops 6 et Warzone"
"FR-CA","Call of Duty: Black Ops 6 et Warzone","Jouez à La Saison 5 Rechargée","Call of Duty: Black Ops 6 et Warzone"
"FR-CH","Call of Duty: Black Ops 6 et Warzone","Jouez à La Saison 5 Rechargée","Call of Duty: Black Ops 6 et Warzone"
"FR-FR","Call of Duty: Black Ops 6 et Warzone","Jouez à La Saison 5 Rechargée","Call of Duty: Black Ops 6 et Warzone"
"HE-IL","Call of Duty‏: Black Ops 6 ו- Warzone","שחק ב-Season 05 Reloaded עכשיו","Call of Duty‏: Black Ops 6 ו- Warzone"
"HU-HU","Call of Duty: Black Ops 6 és Warzone","Játssz a 05. évaddal most","Call of Duty: Black Ops 6 és Warzone"
"INVARIANTCULTURE","Call of Duty: Black Ops 6 and Warzone","Play Season 05 Reloaded","Call of Duty: Black Ops 6 and Warzone"
"IT-CH","Call of Duty: Black Ops 6 e Warzone","Gioca la Stagione 5 Furiosa","Call of Duty: Black Ops 6 e Warzone"
"IT-IT","Call of Duty: Black Ops 6 e Warzone","Gioca la Stagione 5 Furiosa","Call of Duty: Black Ops 6 e Warzone"
"JA-JP","Call of Duty: Black Ops 6 and Warzone","シーズン 05 を今すぐプレイ","Call of Duty: Black Ops 6 and Warzone"
"KO-KR","Call of Duty: Black Ops 6 및 Warzone","지금 시즌 05 플레이하기","Call of Duty: Black Ops 6 및 Warzone"
"NB-NO","Call of Duty: Black Ops 6 og Warzone","Spill sesong 05 Reloaded nå","Call of Duty: Black Ops 6 og Warzone"
"NL-BE","Call of Duty: Black Ops 6 en Warzone","Speel nu seizoen 05","Call of Duty: Black Ops 6 en Warzone"
"NL-NL","Call of Duty: Black Ops 6 en Warzone","Speel nu seizoen 05","Call of Duty: Black Ops 6 en Warzone"
"PL-PL","Call of Duty: Black Ops 6 i Warzone","Graj w Sezon 05 już teraz","Call of Duty: Black Ops 6 i Warzone"
"PT-BR","Call of Duty: Black Ops 6 e Warzone","Jogue a Temporada 05","Call of Duty: Black Ops 6 e Warzone"
"PT-PT","Call of Duty: Black Ops 6 e Warzone","Joga a Temporada 05 agora","Call of Duty: Black Ops 6 e Warzone"
"SK-SK","Call of Duty: Black Ops 6 a Warzone","Zahrajte si teraz 05. sériu","Call of Duty: Black Ops 6 a Warzone"
"SV-SE","Call of Duty: Black Ops 6 och Warzone","Spela säsong 05: Reloaded","Call of Duty: Black Ops 6 och Warzone"
"TR-TR","Call of Duty: Black Ops 6 ve Warzone","05. sezonu hemen oynayın","Call of Duty: Black Ops 6 ve Warzone"
"UK-UA","Call of Duty: Black Ops 6 і Warzone","Грайте сезон 05 вже зараз","Call of Duty: Black Ops 6 і Warzone"
"ZH-HK","《使命召唤：黑色行动 6》及《使命召唤：战争地带》","立即畅玩第 05 赛季","《使命召唤：黑色行动 6》及《使命召唤：战争地带》"
"ZH-SG","《使命召唤：黑色行动 6》及《使命召唤：战争地带》","立即畅玩第 05 赛季","《使命召唤：黑色行动 6》及《使命召唤：战争地带》"
"ZH-TW","《決勝時刻：黑色行動 6》和《使命召喚：戰爭地帶》","立即暢玩第 05 季","《決勝時刻：黑色行動 6》和《使命召喚：戰爭地帶》"
