Region,Language,Title,Description,MiniFAD
,nb,Det ultimate salget på tillegg,Spar opptil 45% på utvalgte tillegg for spill fra det ultimate spillsalget. Salget avsluttes 11.8.,Spar opptil 45 %
,nl,Ultimate Add-on aanbieding,Bespaar 45% op geselecteerde add-ons voor games uit de Ultimate game-uitverkoop. De sale eindigt op 11-8.,Bespaar tot 45%
,pl,Ostateczna wyprzedaż dodatków,Oszczędź do 45% na wybranych dodatkach podczas wyprzedaży gier. Wyprzedaż kończy się 11.8.,Zaoszczędź nawet 45%
BR,pt,Mega Ofertas em Complementos,Economize até 45% em complementos selecionados para jogos disponíveis nas Mega Ofertas em Jogos. Promoção válida até 11/8.,Economize até 45%
,pt,Mega Ofertas em Suplementos,Poupa até 45% em suplementos da Mega Ofertas em Jogos. A promoção termina a 11/8.,Poupa até 45%
,sk,Superakcia na doplnky,Ušetrite až 45 % na vybratých doplnkoch do hier zo Superakcie na hry. Akcia sa končí 11. 8.,Ušetrite až 45 %
,sv,Stor rea på tillägg,Spara upp till 45 % på utvalda speltillägg från Stor spelrea. Rean pågår till 11/8.,Spara upp till 45 %
,tr,Büyük Eklenti İndirimi,Büyük Oyun İndirimindeki oyunlara yönelik seçili eklentilerde %45 tasarruf imkanı elde edin. İndirim 11.8 tarihinde sona eriyor.,%45'ye varan indirim
,uk,Суперрозпродаж доповнень,Заощадьте до 45 % на вибраних доповненнях для ігор під час тотального розпродажу. Останній день: 11.8.,Знижки до 45%
,zh-hans,终极拓展包优惠,终极游戏特惠期间，购买游戏精选拓展包，最高可享 45% 优惠。特惠将于 8 月 11 日 结束。,最高可省 45%
,zh-hant,終極附加內容特賣,在 Ultimate 遊戲特賣，遊戲精選附加內容的折扣高達 45%。特賣於 8/11 結束。,最多可省 45%
